Ticker,Name,Exchange,Sector,Market,Currency,Address
ABINFRA.NS,ABINFRA.NS,NSI,Industrials,in_market,INR,"104, Shubhangan CHS Ltd, Mumbai, 400104, India"
ABLBL.NS,ABLBL.NS,NSI,Consumer Cyclical,in_market,INR,"Kh No. 118/110/1, Bengaluru, 560037, India"
ABMINTLLTD.NS,ABM International Limited,NSI,Basic Materials,in_market,INR,"37, DLF, Industrial Area, New Delhi, 110015, India"
ABNB,"Airbnb, Inc.",NMS,Consumer Cyclical,us_market,USD,"888 Brannan Street, San Francisco, CA, 94103, United States"
ABREL.NS,Aditya Birla Real Estate Limited,NSI,Basic Materials,in_market,INR,"Century Bhavan, Mumbai, 400030, India"
ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,NSI,Financial Services,in_market,INR,"Ahura Centre, 96 Mahakali Caves road, Mumbai, 400093, India"
ABT,Abbott Laboratories,NYQ,Healthcare,us_market,USD,"100 Abbott Park Road, North Chicago, IL, 60064-6400, United States"
ACC.NS,ACC Limited,NSI,Basic Materials,in_market,INR,"Adani Corporate House, Ahmedabad, 382 421, India"
ACCELYA.NS,Accelya Solutions India Limited,NSI,Technology,in_market,INR,"Tower - A, No. 801, Mumbai, 400083, India"
ACCURACY.NS,Accuracy Shipping Limited,NSI,Industrials,in_market,INR,"ASL House, Plot No 11, Anjar, 370110, India"
ACE.NS,Action Construction Equipment Limited,NSI,Industrials,in_market,INR,"Dudhola Link Road, Palwal, 121102, India"
ACEINTEG.NS,Ace Integrated Solutions Limited,NSI,Industrials,in_market,INR,"B-13, DSIDC Complex, New Delhi, 110092, India"
ACGL,Arch Capital Group Ltd.,NMS,Financial Services,us_market,USD,"Waterloo House, Pembroke, HM 08, Bermuda"
ACI.NS,Archean Chemical Industries Limited,NSI,Basic Materials,in_market,INR,"No. 2, North Crescent Road, Chennai, 600017, India"
ACL.NS,Andhra Cements Limited,NSI,Basic Materials,in_market,INR,"Plot No.111, Road No. 10, Hyderabad, 500033, India"
ACLGATI.NS,Allcargo Gati Limited,NSI,Industrials,in_market,INR,"Western Pearl, Hyderabad, 500084, India"
ACMESOLAR.NS,ACMESOLAR.NS,NSI,Utilities,in_market,INR,"Plot No. 152, Gurugram, 122002, India"
ACN,Accenture plc,NYQ,Technology,us_market,USD,"1 Grand Canal Square, Dublin, D02 P820, Ireland"
ACUTAAS.NS,Acutaas Chemicals Limited,NSI,Basic Materials,in_market,INR,"Plot No. 440/4, 5 & 6, Surat, 394230, India"
ADANIENSOL.NS,Adani Energy Solutions Limited,NSI,Utilities,in_market,INR,"Adani Corporate House, Ahmedabad, 382421, India"
ADANIENT.NS,Adani Enterprises Limited,NSI,Energy,in_market,INR,"Adani Corporate House, Ahmedabad, 382421, India"
ADANIGREEN.NS,Adani Green Energy Limited,NSI,Utilities,in_market,INR,"Adani Corporate House, Ahmedabad, 382421, India"
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,NSI,Industrials,in_market,INR,"Adani Corporate House, Ahmedabad, 382421, India"
ADANIPOWER.NS,Adani Power Limited,NSI,Utilities,in_market,INR,"Adani Corporate House, Ahmedabad, 382421, India"
ADBE,Adobe Inc.,NMS,Technology,us_market,USD,"345 Park Avenue, San Jose, CA, 95110-2704, United States"
ADFFOODS.NS,ADF Foods Limited,NSI,Consumer Defensive,in_market,INR,"Marathon Innova B2 – G01, Mumbai, 400013, India"
ADI,"Analog Devices, Inc.",NMS,Technology,us_market,USD,"One Analog Way, Wilmington, MA, 01887, United States"
ADL.NS,Archidply Decor Limited,NSI,Consumer Cyclical,in_market,INR,"No-50, Millenium Towers, Bengaluru, 560051, India"
ADM,Archer-Daniels-Midland Company,NYQ,Consumer Defensive,us_market,USD,"77 West Wacker Drive, Chicago, IL, 60601, United States"
ADOR.NS,Ador Welding Limited,NSI,Industrials,in_market,INR,"Ador House, Mumbai, 400001, India"
ADP,"Automatic Data Processing, Inc.",NMS,Technology,us_market,USD,"One ADP Boulevard, Roseland, NJ, 07068, United States"
ADROITINFO.NS,Adroit Infotech Limited,NSI,Technology,in_market,INR,"Plot No. 7A, MLA Colony, Hyderabad, 500034, India"
ADSK,"Autodesk, Inc.",NMS,Technology,us_market,USD,"One Market Street, San Francisco, CA, 94105, United States"
ADSL.NS,Allied Digital Services Limited,NSI,Technology,in_market,INR,"Plot No. 221/222, Mumbai, 400021, India"
ADVANIHOTR.NS,Advani Hotels & Resorts (India) Limited,NSI,Consumer Cyclical,in_market,INR,"18A & 18B, Jolly Maker Chambers - II, Mumbai, 400021, India"
ADVENZYMES.NS,Advanced Enzyme Technologies Limited,NSI,Basic Materials,in_market,INR,"Sun Magnetica, Thane, 400604, India"
AEE,Ameren Corporation,NYQ,Utilities,us_market,USD,"1901 Chouteau Avenue, Saint Louis, MO, 63103, United States"
AEGISLOG.NS,AEGISLOG.NS,NSI,Energy,in_market,INR,"Tower B, Peninsula Business Park, Mumbai, 400013, India"
AEGISVOPAK.NS,AEGISVOPAK.NS,NSI,Energy,in_market,INR,"1202, Tower B, Mumbai, 400013, India"
AEP,"American Electric Power Company, Inc.",NMS,Utilities,us_market,USD,"1 Riverside Plaza, Columbus, OH, 43215-2373, United States"
AEROENTER.NS,Aeroflex Enterprises Limited,NSI,Basic Materials,in_market,INR,"Mittal Tower, Mumbai, 400021, India"
AEROFLEX.NS,Aeroflex Industries Limited,NSI,Industrials,in_market,INR,"Plot No. 41, 42/(13, 14, 18), Mumbai, 410 208, India"
AERONEU.NS,Aeroflex Neu Limited,NSI,Consumer Cyclical,in_market,INR,"E 260-261, Mewar Industrial Area, Udaipur, 313003, India"
AES,The AES Corporation,NYQ,Utilities,us_market,USD,"4300 Wilson Boulevard, Arlington, VA, 22203, United States"
AETHER.NS,Aether Industries Limited,NSI,Basic Materials,in_market,INR,"GIDC Industrial Estate, Surat, 394230, India"
AFCONS.NS,AFCONS.NS,NSI,Industrials,in_market,INR,"Afcons House, 16 Shah Industrial Estate, Mumbai, 400053, India"
AFFLE.NS,Affle 3i Limited,NSI,Communication Services,in_market,INR,"Unitech Commercial Tower - 2, Gurugram, 122003, India"
AFFORDABLE.NS,Affordable Robotic & Automation Limited,NSI,Industrials,in_market,INR,"Gat No.1209, Pune, 412308, India"
AFIL.NS,AFIL.NS,NSI,Financial Services,in_market,INR,"Tulsee Chambers, Mumbai, 400602, India"
AFL,Aflac Incorporated,NYQ,Financial Services,us_market,USD,"1932 Wynnton Road, Columbus, GA, 31999, United States"
AFSL.NS,Abans Financial Services Limited,NSI,Financial Services,in_market,INR,"227 Nariman Bhavan, Mumbai, 400021, India"
AGARIND.NS,Agarwal Industrial Corporation Limited,NSI,Basic Materials,in_market,INR,"Eastern Court, Mumbai, 400071, India"
AGARWALEYE.NS,AGARWALEYE.NS,NSI,Healthcare,in_market,INR,"3rd Floor, Buhari Towers, Chennai, 600006, India"
AGI.NS,AGI Greenpac Limited,NSI,Consumer Cyclical,in_market,INR,"301-302, Park Centra Building, Gurugram, 122001, India"
AGIIL.NS,AGI Infra Limited,NSI,Real Estate,in_market,INR,"Jalandhar Heights-II, Jalandhar, 144022, India"
AGRITECH.NS,Agri-tech (India) Limited,NSI,Consumer Defensive,in_market,INR,"1, Chateau Windsor, Mumbai, 400020, India"
AGROPHOS.NS,Agro Phos (India) Limited,NSI,Basic Materials,in_market,INR,"M-87, Trade Centre 18M, Indore, 452001, India"
AGSTRA.NS,AGS Transact Technologies Limited,NSI,Technology,in_market,INR,"Kamala Mill Compound, Mumbai, 400013, India"
AHCL.NS,AHCL.NS,NSI,Healthcare,in_market,INR,"101/102-Silver Coin Complex, Rajkot, 360005, India"
AHLADA.NS,Ahlada Engineers Limited,NSI,Industrials,in_market,INR,"Sy.No.62/1/A & 67, Tech Mahindra Road, Hyderabad, 500043, India"
AHLEAST.NS,Asian Hotels (East) Limited,NSI,Consumer Cyclical,in_market,INR,"Hyatt Regency Kolkata, Kolkata, 700106, India"
AHLUCONT.NS,Ahluwalia Contracts (India) Limited,NSI,Industrials,in_market,INR,"Plot No. A-177, New Delhi, 110020, India"
AIAENG.NS,AIA Engineering Limited,NSI,Industrials,in_market,INR,"11-12, Sigma Corporates, Ahmedabad, 380054, India"
AIG,"American International Group, Inc.",NYQ,Financial Services,us_market,USD,"1271 Avenue of the Americas, New York, NY, 10020, United States"
AIIL.NS,Authum Investment & Infrastructure Limited,NSI,Financial Services,in_market,INR,"The Ruby, Mumbai, 400028, India"
AIRAN.NS,Airan Limited,NSI,Technology,in_market,INR,"408 Kirtiman Complex, Ahmedabad, 380006, India"
AIROLAM.NS,Airo Lam Limited,NSI,Consumer Cyclical,in_market,INR,"Survey No. 355, Prantij, 383120, India"
AIZ,"Assurant, Inc.",NYQ,Financial Services,us_market,USD,"260 Interstate North Circle SE, Atlanta, GA, 30339-2210, United States"
AJANTPHARM.NS,Ajanta Pharma Limited,NSI,Healthcare,in_market,INR,"Ajanta Tower, Mumbai, 400 093, India"
AJAXENGG.NS,AJAXENGG.NS,NSI,Industrials,in_market,INR,"No. 253/1, 11th Main Road, Bengaluru, 560058, India"
AJG,Arthur J. Gallagher & Co.,NYQ,Financial Services,us_market,USD,"2850 Golf Road, Rolling Meadows, IL, 60008-4050, United States"
AJMERA.NS,Ajmera Realty & Infra India Limited,NSI,Real Estate,in_market,INR,"Citi Mall, Mumbai, 400053, India"
AJOONI.NS,Ajooni Biotech Limited,NSI,Consumer Defensive,in_market,INR,"D-118, Industrial Area, Mohali, 160055, India"
AKAM,"Akamai Technologies, Inc.",NMS,Technology,us_market,USD,"145 Broadway, Cambridge, MA, 02142, United States"
AKASH.NS,Akash Infra-Projects Limited,NSI,Industrials,in_market,INR,"Abhishek Complex, Gandhinagar, 382011, India"
AKG.NS,AKG Exim Limited,NSI,Industrials,in_market,INR,"Spazedge Tower, Tower-B, Gurugram, 122018, India"
AKI.NS,AKI India Limited,NSI,Consumer Cyclical,in_market,INR,"D-115, Defence Colony, Jajmau, Kanpur, 208 010, India"
AKSHAR.NS,Akshar Spintex Limited,NSI,Consumer Cyclical,in_market,INR,"C-704, The Imperial Heights, Rajkot, 360005, India"
AKSHARCHEM.NS,AksharChem (India) Limited,NSI,Basic Materials,in_market,INR,"Corporate House No. 8, Ahmedabad, 380054, India"
AKSHOPTFBR.NS,Aksh Optifibre Limited,NSI,Technology,in_market,INR,"Mohan Co-operative Industrial Estate, New Delhi, 110044, India"
AKUMS.NS,AKUMS.NS,NSI,Healthcare,in_market,INR,"Akums House,, Delhi, 110083, India"
AKZOINDIA.NS,Akzo Nobel India Limited,NSI,Basic Materials,in_market,INR,"Magnum Towers 1, Gurugram, 122011, India"
ALANKIT.NS,Alankit Limited,NSI,Technology,in_market,INR,"Alankit House, New Delhi, 110055, India"
ALB,Albemarle Corporation,NYQ,Basic Materials,us_market,USD,"4250 Congress Street, Charlotte, NC, 28209, United States"
ALBERTDAVD.NS,Albert David Limited,NSI,Healthcare,in_market,INR,"Gillander House, Kolkata, 700001, India"
ALEMBICLTD.NS,Alembic Limited,NSI,Real Estate,in_market,INR,"Alembic Road, Vadodara, 390003, India"
ALGN,"Align Technology, Inc.",NMS,Healthcare,us_market,USD,"410 North Scottsdale Road, Tempe, AZ, 85288, United States"
ALICON.NS,Alicon Castalloy Limited,NSI,Industrials,in_market,INR,"Survey No. 1426, Village Shikrapur, Pune, 412208, India"
ALIVUS.NS,Alivus Life Sciences Limited,NSI,Healthcare,in_market,INR,"OIA House, Mumbai, 400099, India"
ALKALI.NS,Alkali Metals Limited,NSI,Basic Materials,in_market,INR,"Survey No 299 -302, Plot B-5, Hyderabad, 500039, India"
ALKEM.NS,Alkem Laboratories Limited,NSI,Healthcare,in_market,INR,"Alkem House, Mumbai, 400013, India"
ALKYLAMINE.NS,Alkyl Amines Chemicals Limited,NSI,Basic Materials,in_market,INR,"401-407, Nirman Vyapar Kendra, Navi Mumbai, 400703, India"
ALL,The Allstate Corporation,NYQ,Financial Services,us_market,USD,"3100 Sanders Road, Northbrook, IL, 60062, United States"
ALLCARGO.NS,Allcargo Logistics Limited,NSI,Industrials,in_market,INR,"Allcargo House, Mumbai, 400098, India"
ALLDIGI.NS,Alldigi Tech Limited,NSI,Industrials,in_market,INR,"46C, Velachery Main Road, Chennai, 600042, India"
ALLE,Allegion plc,NYQ,Industrials,us_market,USD,"Iveagh Court, Dublin, D02 VH94, Ireland"
ALLTIME.NS,ALLTIME.NS,NSI,Consumer Defensive,in_market,INR,"B-30, Royal Industrial Estate, Mumbai, 400031, India"
ALMONDZ.NS,Almondz Global Securities Limited,NSI,Financial Services,in_market,INR,"F-33/3 Okhla Industrial Area Phase II, New Delhi, 110020, India"
ALOKINDS.NS,Alok Industries Limited,NSI,Consumer Cyclical,in_market,INR,"Building No. 24Dhirubhai Ambani Knowledge City (DAKC), Mumbai, 400710, India"
ALPA.NS,Alpa Laboratories Limited,NSI,Healthcare,in_market,INR,"33/2 Pigdamber, Indore, 453446, India"
ALPHAGEO.NS,Alphageo (India) Limited,NSI,Energy,in_market,INR,"Plot No- 686, Hyderabad, 500033, India"
ALPSINDUS.NS,Alps Industries Limited,NSI,Consumer Cyclical,in_market,INR,"Plot No. 15-B, Ghaziabad, 201001, India"
AMANTA.NS,AMANTA.NS,NSI,Healthcare,in_market,INR,"Shaligram Corporates, Ahmedabad, 380058, India"
AMAT,"Applied Materials, Inc.",NMS,Technology,us_market,USD,"3050 Bowers Avenue, Santa Clara, CA, 95052-8039, United States"
AMBER.NS,Amber Enterprises India Limited,NSI,Consumer Cyclical,in_market,INR,"Universal Trade Tower, Gurugram, 122018, India"
AMBICAAGAR.NS,Ambica Agarbathies Aroma & Industries Limited,NSI,Consumer Defensive,in_market,INR,"Ambica Empire, 57, Chennai, India"
AMBIKCO.NS,Ambika Cotton Mills Limited,NSI,Consumer Cyclical,in_market,INR,"Sivanandha Colony, Coimbatore, 641012, India"
AMBUJACEM.NS,Ambuja Cements Limited,NSI,Basic Materials,in_market,INR,"Adani Corporate House, Ahmedabad, 382421, India"
AMCR,Amcor plc,NYQ,Consumer Cyclical,us_market,USD,"Thurgauerstrasse 34, Zurich, 8050, Switzerland"
AMD,"Advanced Micro Devices, Inc.",NMS,Technology,us_market,USD,"2485 Augustine Drive, Santa Clara, CA, 95054, United States"
AMDIND.NS,AMD Industries Limited,NSI,Consumer Cyclical,in_market,INR,"18, Pusa Road, New Delhi, 110005, India"
AME,"AMETEK, Inc.",NYQ,Industrials,us_market,USD,"1100 Cassatt Road, Berwyn, PA, 19312-1177, United States"
AMGN,Amgen Inc.,NMS,Healthcare,us_market,USD,"One Amgen Center Drive, Thousand Oaks, CA, 91320-1799, United States"
AMJLAND.NS,AMJ Land Holdings Limited,NSI,Real Estate,in_market,INR,"Jatia Chambers, Mumbai, 400001, India"
AMNPLST.NS,Amines & Plasticizers Limited,NSI,Basic Materials,in_market,INR,"‘D’ Building, Mumbai, 400018, India"
AMP,"Ameriprise Financial, Inc.",NYQ,Financial Services,us_market,USD,"1099 Ameriprise Financial Center, Minneapolis, MN, 55474, United States"
AMRUTANJAN.NS,Amrutanjan Health Care Limited,NSI,Healthcare,in_market,INR,"No.103 (Old No.42-45), Luz Church Road, Chennai, 600004, India"
AMT,American Tower Corporation,NYQ,Real Estate,us_market,USD,"116 Huntington Avenue, Boston, MA, 02116-5749, United States"
AMZN,"Amazon.com, Inc.",NMS,Consumer Cyclical,us_market,USD,"410 Terry Avenue North, Seattle, WA, 98109-5210, United States"
ANANDRATHI.NS,Anand Rathi Wealth Limited,NSI,Financial Services,in_market,INR,"Trade Link, Kamla Mill Compound, Mumbai, 400013, India"
ANANTRAJ.NS,Anant Raj Limited,NSI,Real Estate,in_market,INR,"H-65, Connaught Circus, New Delhi, 110001, India"
ANDHRAPAP.NS,Andhra Paper Limited,NSI,Basic Materials,in_market,INR,"31, Chowringee Road, Kolkata, 700 016, India"
ANDHRSUGAR.NS,The Andhra Sugars Limited,NSI,Basic Materials,in_market,INR,"Venkatarayapuram, Tanuku, 534215, India"
ANET,Arista Networks Inc,NYQ,Technology,us_market,USD,"5453 Great America Parkway, Santa Clara, CA, 95054, United States"
ANGELONE.NS,Angel One Limited,NSI,Financial Services,in_market,INR,"Ackruti Star, Mumbai, 400093, India"
ANIKINDS.NS,Anik Industries Limited,NSI,Consumer Defensive,in_market,INR,"2/1, South Tukoganj, Indore, 452001, India"
ANKITMETAL.NS,Ankit Metal & Power Limited,NSI,Basic Materials,in_market,INR,"SKP House, Kolkata, 700026, India"
ANMOL.NS,Anmol India Limited,NSI,Energy,in_market,INR,"2/43, Block B, Ludhiana, 141001, India"
ANSALAPI.NS,Ansal Properties & Infrastructure Limited,NSI,Real Estate,in_market,INR,"115, Ansal Bhawan, New Delhi, 110001, India"
ANTGRAPHIC.NS,Antarctica Limited,NSI,Consumer Cyclical,in_market,INR,"1A, Vidyasagar Street, Kolkata, 700009, India"
ANTHEM.NS,ANTHEM.NS,NSI,Healthcare,in_market,INR,"No. 49, F1 & F2, Canara Bank Road, Bengaluru, 560099, India"
ANUHPHR.NS,Anuh Pharma Limited,NSI,Healthcare,in_market,INR,"3-A, Shivsagar Estate, Mumbai, 400018, India"
ANUP.NS,The Anup Engineering Limited,NSI,Industrials,in_market,INR,"Behind 66 KV Elec. Sub Station, Ahmedabad, 382415, India"
ANURAS.NS,Anupam Rasayan India Ltd,NSI,Basic Materials,in_market,INR,"8110, Sachin G.I.D.C. Estate, Surat, 394230, India"
AON,Aon plc,NYQ,Financial Services,us_market,USD,"15 George's Quay, Dublin, D02 VR98, Ireland"
AOS,A. O. Smith Corporation,NYQ,Industrials,us_market,USD,"11270 West Park Place, Milwaukee, WI, 53224, United States"
APA,APA Corporation,NMS,Energy,us_market,USD,"2000 W. Sam Houston Pkwy. S., Houston, TX, 77042-3643, United States"
APARINDS.NS,APAR Industries Limited,NSI,Industrials,in_market,INR,"APAR House, Mumbai, 400071, India"
APCL.NS,Anjani Portland Cement Limited,NSI,Basic Materials,in_market,INR,"Quena Square, Hyderabad, 500082, India"
APCOTEXIND.NS,Apcotex Industries Limited,NSI,Basic Materials,in_market,INR,"NKM International House, Mumbai, 400020, India"
APD,"Air Products and Chemicals, Inc.",NYQ,Basic Materials,us_market,USD,"1940 Air Products Boulevard, Allentown, PA, 18106-5500, United States"
APEX.NS,Apex Frozen Foods Limited,NSI,Consumer Defensive,in_market,INR,"3-160, Panasapadu, Kakinada, 533005, India"
APH,Amphenol Corporation,NYQ,Technology,us_market,USD,"358 Hall Avenue, Wallingford, CT, 06492, United States"
APLAPOLLO.NS,APL Apollo Tubes Limited,NSI,Basic Materials,in_market,INR,"SG Centre, Noida, 201304, India"
APLLTD.NS,Alembic Pharmaceuticals Limited,NSI,Healthcare,in_market,INR,"Alembic Road, Vadodara, 390003, India"
APO,"Apollo Global Management, Inc.",NYQ,Financial Services,us_market,USD,"9 West 57th Street, New York, NY, 10019, United States"
APOLLO.NS,Apollo Micro Systems Limited,NSI,Industrials,in_market,INR,"Plot No 128/A, Hyderabad, 500076, India"
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,NSI,Healthcare,in_market,INR,"Sunny Side Building, Chennai, 600006, India"
APOLLOPIPE.NS,Apollo Pipes Limited,NSI,Industrials,in_market,INR,"Plot No. A-140, Sector-136, Noida, 201301, India"
APOLLOTYRE.NS,Apollo Tyres Limited,NSI,Consumer Cyclical,in_market,INR,"Apollo House, Gurugram, 122001, India"
APOLSINHOT.NS,Apollo Sindoori Hotels Limited,NSI,Industrials,in_market,INR,"No.43/5, Hussain Mansion, Chennai, 600006, India"
APTECHT.NS,Aptech Limited,NSI,Consumer Defensive,in_market,INR,"Aptech House, Mumbai, 400093, India"
APTUS.NS,Aptus Value Housing Finance India Limited,NSI,Financial Services,in_market,INR,"No. 8B, Doshi Towers, Chennai, 600010, India"
APTV,Aptiv PLC,NYQ,Consumer Cyclical,us_market,USD,"Spitalstrasse 5, Schaffhausen, 8200, Switzerland"
ARCHIDPLY.NS,Archidply Industries Limited,NSI,Basic Materials,in_market,INR,"Plot No.2, New Delhi, 110015, India"
ARCHIES.NS,Archies Limited,NSI,Consumer Cyclical,in_market,INR,"C-113, Naraina Industrial Area, New Delhi, 110028, India"
ARE,"Alexandria Real Estate Equities, Inc.",NYQ,Real Estate,us_market,USD,"26 North Euclid Avenue, Pasadena, CA, 91101-6104, United States"
ARE&M.NS,Amara Raja Energy & Mobility Limited,NSI,Industrials,in_market,INR,"Terminal A, Hyderabad, 500032, India"
ARENTERP.NS,Rajdarshan Industries Limited,NSI,Basic Materials,in_market,INR,"59, Moti Magri Scheme, Udaipur, 313001, India"
ARFIN.NS,Arfin India Limited,NSI,Basic Materials,in_market,INR,"Ravi Industrial Estate, Gandhinagar, 382729, India"
ARIES.NS,Aries Agro Limited,NSI,Basic Materials,in_market,INR,"Aries House, Mumbai, 400043, India"
ARIHANTCAP.NS,Arihant Capital Markets Limited,NSI,Financial Services,in_market,INR,"6, Lad Colony, Indore, 452001, India"
ARIHANTSUP.NS,Arihant Superstructures Limited,NSI,Real Estate,in_market,INR,"Arihant Aura, Navi Mumbai, 400705, India"
ARISINFRA.NS,ARISINFRA.NS,NSI,Industrials,in_market,INR,"Unit No. G-A-04 to 07, Mumbai, 400070, India"
ARKADE.NS,ARKADE.NS,NSI,Real Estate,in_market,INR,"Arkade House, Opp. Bhoomi Arkade, Mumbai, 400101, India"
ARMANFIN.NS,Arman Financial Services Limited,NSI,Financial Services,in_market,INR,"502-503 Sakar-II, Ahmedabad, 380014, India"
AROGRANITE.NS,Aro Granite Industries Limited,NSI,Industrials,in_market,INR,"Koneripalli Village, Hosur, 635117, India"
ARROWGREEN.NS,Arrow Greentech Limited,NSI,Consumer Cyclical,in_market,INR,"Laxmi Industrial Estate, Mumbai, 400053, India"
ARSHIYA.NS,Arshiya Limited,NSI,Industrials,in_market,INR,"Arshiya FTWZ, Mumbai, 410 221, India"
ARTEMISMED.NS,Artemis Medicare Services Limited,NSI,,in_market,INR,"Artemis Hospital, Gurugram, 122001, India"
ARTNIRMAN.NS,Art Nirman Limited,NSI,Real Estate,in_market,INR,"JBR Arcade, Ahmedabad, 380060, India"
ARVEE.NS,Arvee Laboratories (India) Ltd.,NSI,Basic Materials,in_market,INR,"403, Entice Building, Ahmedabad, 380058, India"
ARVIND.NS,Arvind Limited,NSI,Consumer Cyclical,in_market,INR,"Naroda Road, Ahmedabad, 382345, India"
ARVINDFASN.NS,Arvind Fashions Limited,NSI,Consumer Cyclical,in_market,INR,"Du Parc Trinity, Bengaluru, 560 001, India"
ARVSMART.NS,Arvind SmartSpaces Limited,NSI,Real Estate,in_market,INR,"24, Government Servant's Society, Ahmedabad, 380009, India"
ASAHIINDIA.NS,Asahi India Glass Limited,NSI,Consumer Cyclical,in_market,INR,"Tower D, Global Business Park, Gurugram, 122002, India"
ASAHISONG.NS,Asahi Songwon Colors Limited,NSI,Basic Materials,in_market,INR,"Asahi House, Ahmedabad, 380059, India"
ASAL.NS,Automotive Stampings and Assemblies Limited,NSI,Consumer Cyclical,in_market,INR,"TACO House, Pune, 411004, India"
ASALCBR.NS,Associated Alcohols & Breweries Limited,NSI,Consumer Defensive,in_market,INR,"BPK Star Tower, Indore, 452008, India"
ASHAPURMIN.NS,Ashapura Minechem Limited,NSI,Basic Materials,in_market,INR,"Jeeven Udyog Building, Mumbai, 400001, India"
ASHIANA.NS,Ashiana Housing Limited,NSI,Real Estate,in_market,INR,"304, Southern Park, New Delhi, 110017, India"
ASHIMASYN.NS,Ashima Limited,NSI,Real Estate,in_market,INR,"Texcellence Complex, Ahmedabad, 380021, India"
